Rk,Player,From,To,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
255,Al Lucas\lucasal01,1949,1949,1,2,,1,3,,,0,0,,,2,,,,0,2,0.333,,,,1,,1
256,Ed Macauley\macaued01,1951,1956,6,416,13385,2579,5766,,,2724,3518,,3367,1521,,,,1064,7882,0.447,,0.774,38.5,18.9,8.1,3.7
257,John Mahnken\mahnkjo01,1950,1953,4,199,1352,300,945,,,123,189,,498,247,,,,427,723,0.317,,0.651,10.5,3.6,2.8,1.2
258,Mo Mahoney\mahonmo01,1953,1953,1,6,34,4,10,,,4,5,,7,1,,,,7,12,0.4,,0.8,5.7,2,1.2,0.2
259,Pete Maravich\maravpe01,1980,1980,1,26,442,123,249,3,4,50,55,10,38,29,9,2,37,49,299,0.494,0.75,0.909,17,11.5,1.5,1.1
260,Stephon Marbury\marbust01,2009,2009,1,23,414,38,111,6,25,6,13,2,28,75,10,3,37,34,88,0.342,0.24,0.462,18,3.8,1.2,3.3
261,Saul Mariaschin\mariasa01,1948,1948,1,43,,125,463,,,83,117,,,60,,,,121,333,0.27,,0.709,,7.7,,1.4
262,Tony Massenburg\masseto01,1992,1992,1,7,46,4,9,0,0,2,4,2,9,0,0,1,2,7,10,0.444,,0.5,6.6,1.4,1.3,0
263,Cedric Maxwell\maxwece01,1978,1985,8,607,18495,2786,4984,1,13,2738,3496,1618,4023,1390,549,378,1445,1768,8311,0.559,0.077,0.783,30.5,13.7,6.6,2.3
264,Bob McAdoo\mcadobo01,1979,1979,1,20,637,167,334,,,77,115,36,141,40,12,20,64,55,411,0.5,,0.67,31.9,20.6,7.1,2
265,Johnny McCarthy\mccarjo01,1964,1964,1,28,206,16,48,,,5,13,,35,24,,,,42,37,0.333,,0.385,7.4,1.3,1.3,0.9
266,Walter McCarty\mccarwa01,1998,2005,8,494,9476,1000,2534,417,1194,389,547,379,1402,623,355,153,465,1062,2806,0.395,0.349,0.711,19.2,5.7,2.8,1.3
267,Xavier McDaniel\mcdanxa01,1993,1995,3,232,5616,1090,2309,22,84,424,579,404,1189,397,150,110,376,588,2626,0.472,0.262,0.732,24.2,11.3,5.1,1.7
268,Glenn McDonald\mcdongl01,1975,1976,2,137,1414,261,638,,,68,93,76,203,92,47,25,,181,590,0.409,,0.731,10.3,4.3,1.5,0.7
269,Kevin McHale\mchalke01,1981,1993,13,971,30118,6830,12334,41,157,3634,4554,2358,7122,1670,344,1690,1893,2758,17335,0.554,0.261,0.798,31,17.9,7.3,1.7
270,Bones McKinney\mckinbo01,1951,1952,2,97,1083,226,702,,,120,154,,354,190,,,,270,572,0.322,,0.779,17.2,5.9,3.6,2
271,Dick Mehen\mehendi01,1951,1951,1,7,,17,52,,,10,15,,26,11,,,,14,44,0.327,,0.667,,6.3,3.7,1.6
272,Fab Melo\melofa01,2013,2013,1,6,36,3,6,0,0,1,4,0,3,0,2,2,1,7,7,0.5,,0.25,6,1.2,0.5,0
273,Ron Mercer\mercero01,1998,1999,2,121,4213,820,1852,8,58,271,329,146,435,280,192,29,221,294,1919,0.443,0.138,0.824,34.8,15.9,3.6,2.3
